學16.學士班以下就學穩定率-以「校(含學制班別)」統計,,,,,,,,
學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,前一學年度錄取1年級在學學生人數(A),當學年度2年級在學學生數(B),前一學年度學生就學穩定率(%)(C)(C=B/A)
107,公立,一般大學,0001,國立政治大學,學士班(日間),2014,1945,96.5700
107,公立,一般大學,0002,國立清華大學,學士班(日間),1913,1829,95.6100
107,公立,一般大學,0003,國立臺灣大學,學士班(日間),3261,3135,96.1400
107,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),1716,1625,94.7000
107,公立,一般大學,0005,國立成功大學,學士班(日間),2467,2325,94.2400
107,公立,一般大學,0006,國立中興大學,學士班(日間),1778,1687,94.8800
107,公立,一般大學,0007,國立交通大學,學士班(日間),1191,1137,95.4700
107,公立,一般大學,0008,國立中央大學,學士班(日間),1442,1358,94.1700
107,公立,一般大學,0009,國立中山大學,學士班(日間),1054,1009,95.7300
107,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),1311,1236,94.2800
107,公立,一般大學,0013,國立中正大學,學士班(日間),1486,1394,93.8100
107,公立,一般大學,0014,國立高雄師範大學,學士班(日間),828,746,90.1000
107,公立,一般大學,0015,國立彰化師範大學,學士班(日間),1123,1068,95.1000
107,公立,一般大學,0016,國立陽明大學,學士班(日間),362,325,89.7800
107,公立,一般大學,0017,國立臺北大學,學士班(日間),1305,1228,94.1000
107,公立,一般大學,0018,國立嘉義大學,學士班(日間),1786,1654,92.6100
107,公立,一般大學,0019,國立高雄大學,學士班(日間),980,911,92.9600
107,公立,一般大學,0020,國立東華大學,學士班(日間),1693,1571,92.7900
107,公立,一般大學,0021,國立暨南國際大學,學士班(日間),971,904,93.1000
107,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),1287,1236,96.0400
107,公立,技專校院,0023,國立雲林科技大學,學士班(日間),1508,1461,96.8800
107,公立,技專校院,0024,國立屏東科技大學,學士班(日間),1756,1648,93.8500
107,公立,技專校院,0025,國立臺北科技大學,學士班(日間),1449,1385,95.5800
107,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),362,340,93.9200
107,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),499,470,94.1900
107,公立,一般大學,0030,國立臺東大學,學士班(日間),843,761,90.2700
107,公立,一般大學,0031,國立宜蘭大學,學士班(日間),1053,971,92.2100
107,公立,一般大學,0032,國立聯合大學,學士班(日間),1431,1326,92.6600
107,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),1874,1786,95.3000
107,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),139,128,92.0900
107,公立,一般大學,0036,國立臺南大學,學士班(日間),908,855,94.1600
107,公立,一般大學,0037,國立臺北教育大學,學士班(日間),791,755,95.4500
107,公立,一般大學,0039,國立臺中教育大學,學士班(日間),762,712,93.4400
107,公立,技專校院,0042,國立澎湖科技大學,學士班(日間),634,579,91.3200
107,公立,技專校院,0043,國立勤益科技大學,學士班(日間),1614,1515,93.8700
107,公立,一般大學,0044,國立體育大學,學士班(日間),378,357,94.4400
107,公立,技專校院,0046,國立臺北護理健康大學,學士班(日間),1108,1066,96.2100
